"","GeneID","TValue","PValue","Coefficient","sig.cnt","GeneID","AlzheimersPValue","AsthmaPValue","CADPValue","CKDPValue","CLDPValue","COPDPValue","EthnicityPValue","HIVPValue","HypPValue","LupusPValue","ObesePValue","ONDPValue","RAPValue","T1DPValue","AlzheimersFC","AsthmaFC","CADFC","CKDFC","CLDFC","COPDFC","EthnicityFC","HIVFC","HypFC","LupusFC","ObeseFC","ONDFC","RAFC","T1DFC","AdjP"
"20089","RPS28",4.99989881727433,0.000309363621326495,0.821989541495822,6,"RPS28",1,1,1,0.00000000000034775651143244,0.0000963544994908602,0.00233539049375572,1,0.00000000000000212765780790565,1,1,1,0.0276421144761417,0.00429771452086685,1,1,1,1,1.1378359440661,1.02463842843128,0.995939544395064,1,1.09365964431666,1,1,1,1.06619301280191,0.984852968801072,1,0.399260802353702
"20030","RPLP1",4.98175250644225,0.00031891528112732,0.821018396763427,6,"RPLP1",1,0.026273167550872,1,0.000000000000118793077234962,0.000362308539712592,0.00487318729257908,1,0.0000000000000000140988592631192,1,1,1,0.000204136538932328,1,1,1,0.997085456237615,1,1.15553621790771,1.01766476510869,0.998238140682322,1,1.11839080191914,1,1,1,1.13562924064399,1,1,0.399260802353702
"5858","DR1",4.74234230622092,0.000478337578453073,0.807509228128666,7,"DR1",1,1,1,0.0000000000000000000617478159512746,0.0000903982623853358,0.0134567302378654,1,0.00000000000000130208835028258,1,1,0.0216757790595106,0.000222532034464627,0.000405823261733266,1,1,1,1,1.26503282920923,1.12200004951665,0.984911028539396,1,1.05351542685178,1,1,0.978920915531534,1.20237834752414,0.977913875697348,1,0.399260802353702
"10084","IRGQ",4.69378580275925,0.000656718154221144,0.816691990229511,6,"IRGQ",NA,1,1,0.0000000000000139070954707857,0.0281797085464692,1,1,1,1,1,0.0320364835777953,0.0145168411213174,0.00368924696511857,0.00461413447819151,NA,1,1,1.13244180321189,1.06059289179787,1,1,1,1,1,1.04273360876129,1.16467695059244,0.988464368742148,1.06750389710676,0.399260802353702
"18237","POU2F1",4.42553383655375,0.000827531948313512,0.787449697591305,6,"POU2F1",0.0000141405359876204,1,1,0.000000000132014029303698,1,1,1,0.00000043156113015979,1,1,0.0157782148768684,0.0193723974824853,0.000000063924249327861,1,1.01253814114567,1,1,1.172717959359,1,1,1,1.02072089769773,1,1,0.984908980221155,1.14181178540018,0.969158307469059,1,0.399260802353702
"18187","POLR3GL",-4.51538119590584,0.000878688796159688,-0.805949780484897,8,"POLR3GL",0.0000000000484855502433417,1,NA,0.000000000545178949605335,0.000000516366758011149,0.00368228576354246,1,0.00000376113014853402,1,1,1,0.000122153902059186,0.00294450261833993,0.00560851190075852,0.964991027242943,1,NA,0.903279455623318,0.922032678632933,0.990229638272813,1,0.976231183720031,1,1,1,0.833684730779383,1.01993726323373,0.975707143496298,0.399260802353702
"183","ACADM",-4.32069549024912,0.000994891767057984,-0.780203748760514,5,"ACADM",0.000000855053614694004,1,1,0.00000000228138732813457,0.000633951585115183,1,1,1,1,1,1,0.0470120832254214,0.000828427039530992,1,0.975464815060185,1,1,0.764965413195798,0.951896554475432,1,1,1,1,1,1,0.887657294644666,1.0425228985403,1,0.399260802353702
"19817","RNF187",4.28238572113347,0.00106451145249061,0.777474916217292,4,"RNF187",1,1,1,0.000000000000116403337636795,1,1,1,0.00310014241741965,0.00653111102762923,1,1,0.019198586030244,1,1,1,1,1,1.15368744957564,1,1,1,1.01286199566187,0.889220439073984,1,1,1.17545201410804,1,1,0.399260802353702
"19974","RPL23A",4.22008605340767,0.00118872250978804,0.772941602764323,9,"RPL23A",0.000126916789149574,1,1,0.0000000000000000000505217036580122,0.00000745423529578729,0.00266644209474555,1,0.000000000000000000367111864592898,1,1,0.00598250424357176,0.00160466149437079,0.0262148590311675,0.0278970566342002,0.991373761176141,1,1,1.25910908661466,1.02271639341715,0.998113551073792,1,1.09275891358172,1,1,0.997948665975043,1.09815742149387,0.996396632642714,0.99636434938286,0.399260802353702
"13842","MBTD1",-4.88554026021821,0.00121580040869502,-0.86542963071301,5,"MBTD1",NA,1,1,0.0000000000187634303076015,0.000000190716103979382,1,NA,NA,1,NA,0.0221737515614974,0.0450028717845139,0.000110536808583922,1,NA,1,1,0.792071016887731,0.879495230114016,1,NA,NA,1,NA,0.98005232589351,0.912756382646923,1.03211703602658,1,0.399260802353702
"19561","RFXAP",-4.11050892650528,0.001444954522404,-0.764670964681354,7,"RFXAP",0.0445889609594753,1,1,0.000000000156827032480549,0.0240162482842778,1,1,0.0170783171986841,1,1,0.027077250149033,0.00164791213127198,0.0042289905553072,1,1.00344048465492,1,1,0.689209387407813,0.914553947884687,1,1,1.00329473728758,1,1,0.970891195169906,0.786388103275249,1.05489080718588,1,0.399260802353702
"245","ACPP",-4.15326620515265,0.00160754775908302,-0.781418091437746,4,"ACPP",1,1,1,0.00000000467645885111024,1,NA,1,0.00153868612128437,1,1,1,0.015574410521987,0.00584959966984311,1,1,1,1,0.892057989593519,1,NA,1,0.984568428020621,1,1,1,0.903253796095445,1.0365581910666,1,0.399260802353702
"19951","RPL13",4.0313970798841,0.00166501384303985,0.758454844688895,6,"RPL13",1,0.0461979965923165,1,0.000000163019252756503,0.000487092818322182,0.000219881976191199,1,0.0000000000000000000000236621835521271,1,1,1,0.000410163403746089,1,1,1,0.994778377769903,1,1.0760479210471,1.02622425004602,0.994475899081268,1,1.08285643059814,1,1,1,1.14650089700903,1,1,0.399260802353702
"7227","FBXW7",-4.0305146299467,0.00166765497635056,-0.758384314375405,5,"FBXW7",1,1,1,0.0000000000603281764462336,1,1,0.00315900757784483,0.00314558817490844,1,1,1,0.0347355178610855,0.00391627522790446,1,1,1,1,0.774043795762766,1,1,1.11531688018671,0.978602071004351,1,1,1,0.741118743866536,1.02484941202064,1,0.399260802353702
